1,Afghanistan,2006-02-15 09:44:00.000000
2,Algeria,2006-02-15 09:44:00.000000
3,American Samoa,2006-02-15 09:44:00.000000
4,Angola,2006-02-15 09:44:00.000000
5,Anguilla,2006-02-15 09:44:00.000000
6,Argentina,2006-02-15 09:44:00.000000
7,Armenia,2006-02-15 09:44:00.000000
8,Australia,2006-02-15 09:44:00.000000
9,Austria,2006-02-15 09:44:00.000000
10,Azerbaijan,2006-02-15 09:44:00.000000
11,Bahrain,2006-02-15 09:44:00.000000
12,Bangladesh,2006-02-15 09:44:00.000000
13,Belarus,2006-02-15 09:44:00.000000
14,Bolivia,2006-02-15 09:44:00.000000
15,Brazil,2006-02-15 09:44:00.000000
16,Brunei,2006-02-15 09:44:00.000000
17,Bulgaria,2006-02-15 09:44:00.000000
18,Cambodia,2006-02-15 09:44:00.000000
19,Cameroon,2006-02-15 09:44:00.000000
20,Canada,2006-02-15 09:44:00.000000
21,Chad,2006-02-15 09:44:00.000000
22,Chile,2006-02-15 09:44:00.000000
23,China,2006-02-15 09:44:00.000000
24,Colombia,2006-02-15 09:44:00.000000
25,"Congo, The Democratic Republic of the",2006-02-15 09:44:00.000000
26,Czech Republic,2006-02-15 09:44:00.000000
27,Dominican Republic,2006-02-15 09:44:00.000000
28,Ecuador,2006-02-15 09:44:00.000000
29,Egypt,2006-02-15 09:44:00.000000
30,Estonia,2006-02-15 09:44:00.000000
31,Ethiopia,2006-02-15 09:44:00.000000
32,Faroe Islands,2006-02-15 09:44:00.000000
33,Finland,2006-02-15 09:44:00.000000
34,France,2006-02-15 09:44:00.000000
35,French Guiana,2006-02-15 09:44:00.000000
36,French Polynesia,2006-02-15 09:44:00.000000
37,Gambia,2006-02-15 09:44:00.000000
38,Germany,2006-02-15 09:44:00.000000
39,Greece,2006-02-15 09:44:00.000000
40,Greenland,2006-02-15 09:44:00.000000
41,Holy See (Vatican City State),2006-02-15 09:44:00.000000
42,Hong Kong,2006-02-15 09:44:00.000000
43,Hungary,2006-02-15 09:44:00.000000
44,India,2006-02-15 09:44:00.000000
45,Indonesia,2006-02-15 09:44:00.000000
46,Iran,2006-02-15 09:44:00.000000
47,Iraq,2006-02-15 09:44:00.000000
48,Israel,2006-02-15 09:44:00.000000
49,Italy,2006-02-15 09:44:00.000000
50,Japan,2006-02-15 09:44:00.000000
51,Kazakstan,2006-02-15 09:44:00.000000
52,Kenya,2006-02-15 09:44:00.000000
53,Kuwait,2006-02-15 09:44:00.000000
54,Latvia,2006-02-15 09:44:00.000000
55,Liechtenstein,2006-02-15 09:44:00.000000
56,Lithuania,2006-02-15 09:44:00.000000
57,Madagascar,2006-02-15 09:44:00.000000
58,Malawi,2006-02-15 09:44:00.000000
59,Malaysia,2006-02-15 09:44:00.000000
60,Mexico,2006-02-15 09:44:00.000000
61,Moldova,2006-02-15 09:44:00.000000
62,Morocco,2006-02-15 09:44:00.000000
63,Mozambique,2006-02-15 09:44:00.000000
64,Myanmar,2006-02-15 09:44:00.000000
65,Nauru,2006-02-15 09:44:00.000000
66,Nepal,2006-02-15 09:44:00.000000
67,Netherlands,2006-02-15 09:44:00.000000
68,New Zealand,2006-02-15 09:44:00.000000
69,Nigeria,2006-02-15 09:44:00.000000
70,North Korea,2006-02-15 09:44:00.000000
71,Oman,2006-02-15 09:44:00.000000
72,Pakistan,2006-02-15 09:44:00.000000
73,Paraguay,2006-02-15 09:44:00.000000
74,Peru,2006-02-15 09:44:00.000000
75,Philippines,2006-02-15 09:44:00.000000
76,Poland,2006-02-15 09:44:00.000000
77,Puerto Rico,2006-02-15 09:44:00.000000
78,Romania,2006-02-15 09:44:00.000000
79,Runion,2006-02-15 09:44:00.000000
80,Russian Federation,2006-02-15 09:44:00.000000
81,Saint Vincent and the Grenadines,2006-02-15 09:44:00.000000
82,Saudi Arabia,2006-02-15 09:44:00.000000
83,Senegal,2006-02-15 09:44:00.000000
84,Slovakia,2006-02-15 09:44:00.000000
85,South Africa,2006-02-15 09:44:00.000000
86,South Korea,2006-02-15 09:44:00.000000
87,Spain,2006-02-15 09:44:00.000000
88,Sri Lanka,2006-02-15 09:44:00.000000
89,Sudan,2006-02-15 09:44:00.000000
90,Sweden,2006-02-15 09:44:00.000000
91,Switzerland,2006-02-15 09:44:00.000000
92,Taiwan,2006-02-15 09:44:00.000000
93,Tanzania,2006-02-15 09:44:00.000000
94,Thailand,2006-02-15 09:44:00.000000
95,Tonga,2006-02-15 09:44:00.000000
96,Tunisia,2006-02-15 09:44:00.000000
97,Turkey,2006-02-15 09:44:00.000000
98,Turkmenistan,2006-02-15 09:44:00.000000
99,Tuvalu,2006-02-15 09:44:00.000000
100,Ukraine,2006-02-15 09:44:00.000000
101,United Arab Emirates,2006-02-15 09:44:00.000000
102,United Kingdom,2006-02-15 09:44:00.000000
103,United States,2006-02-15 09:44:00.000000
104,Venezuela,2006-02-15 09:44:00.000000
105,Vietnam,2006-02-15 09:44:00.000000
106,"Virgin Islands, U.S.",2006-02-15 09:44:00.000000
107,Yemen,2006-02-15 09:44:00.000000
108,Yugoslavia,2006-02-15 09:44:00.000000
109,Zambia,2006-02-15 09:44:00.000000
